id_municipio,ano,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,indice_consumo_agua_per_capita,extensao_rede_agua,extensao_rede_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,investimento_total_municipio,indice_saneamento_0_100,ranking_saneamento,prioridade_intervencao,investimento_norm_0_1,risco_saneamento_baixo_investimento
3547304,2022,98.33,65.11,44.69,49.87,33.49,177.2,807.13,372.74,46399.0,29892.0,0.0,61.5691528716568,591.0,53.0,0.0,0.38430847128343204
3549003,2022,82.86,80.86,100.0,100.0,11.99,177.9,15.66,15.7,1069.0,1050.0,0.0,88.77085682219928,240.0,404.0,0.0,0.11229143177800727
3550100,2022,94.39,92.43,96.92,100.0,33.77,171.9,220.84,152.75,16139.0,15698.0,0.0,91.52798658977139,157.0,487.0,0.0,0.08472013410228607
3555406,2022,76.19,41.74,40.38,100.0,24.29,300.7,428.37,144.58,35986.0,14977.0,0.0,60.557430876958996,594.0,50.0,0.0,0.39442569123041005
3555802,2022,88.27,87.43,100.0,100.0,14.4,172.6,58.37,49.32,3654.0,3629.0,0.0,91.6848531658681,150.0,494.0,0.0,0.08315146834131892
3508108,2022,99.62,99.62,81.36,100.0,17.01,223.7,155.0,125.0,9069.0,8500.0,0.0,93.10476376590485,106.0,538.0,0.0,0.06895236234095148
3518404,2022,98.69,91.76,78.48,32.46,54.32,162.9,656.0,455.78,47195.0,41085.0,0.0,70.45904771595998,528.0,116.0,0.0,0.2954095228404001
3520608,2022,100.0,100.0,81.36,100.0,0.0,209.5,13.0,16.0,1996.0,1920.0,3249.0,95.41789577187808,44.0,600.0,0.00012245582564483402,0.04581543122765474
3521903,2022,82.61,82.61,80.0,100.0,4.68,243.6,71.81,77.46,6905.0,6905.0,101864.0,85.1465421753727,333.0,311.0,0.0038392860029194745,0.14796431151906256
3522158,2022,60.46,27.76,57.72,100.0,24.53,143.5,54.28,9.17,1152.0,521.0,0.0,56.781895746182144,609.0,35.0,0.0,0.4321810425381786
3525409,2022,88.07,87.13,99.98,100.0,21.07,183.6,19.06,17.43,1395.0,1381.0,0.0,90.71944719724317,184.0,460.0,0.0,0.09280552802756825
3528601,2022,94.13,93.54,70.28,100.0,15.32,531.9,75.0,71.0,4401.0,4401.0,0.0,87.48309121880581,278.0,366.0,0.0,0.12516908781194191
3529302,2022,97.62,97.62,100.0,100.0,34.23,218.6,397.0,383.0,31993.0,31892.0,0.0,94.47604484219715,63.0,581.0,0.0,0.0552395515780284
3529807,2022,95.56,95.56,80.0,100.0,34.63,170.2,57.51,53.29,4797.0,4644.0,0.0,88.40163255863287,254.0,390.0,0.0,0.1159836744136713
3536257,2022,100.0,100.0,80.0,100.0,9.99,247.4,14.28,14.72,1262.0,1201.0,40331.07,93.84515451976667,80.0,564.0,0.0015200906358847632,0.061454895572535084
3537404,2022,92.21,92.21,80.0,100.0,15.15,311.8,273.29,332.32,10275.0,10186.0,0.0,89.0139955541456,229.0,415.0,0.0,0.10986004445854403
3539707,2022,82.05,81.98,100.0,100.0,17.2,163.5,13.37,14.49,1104.0,1100.0,0.0,88.19137443836584,262.0,382.0,0.0,0.11808625561634156
3502754,2022,71.52,49.5,61.12,100.0,36.06,179.1,88.35,49.76,6653.0,4348.0,0.0,64.91838359493009,575.0,69.0,0.0,0.35081616405069904
3504008,2022,99.3,99.13,95.72,100.0,17.81,180.3,494.6,416.03,42160.0,41925.0,0.0,96.3191651187484,26.0,618.0,0.0,0.036808348812515934
3505500,2022,95.36,95.32,80.0,100.0,28.31,205.5,758.63,764.84,56280.0,56061.0,2516825.12,89.06707973763288,225.0,419.0,0.09485992553809125,0.09895824260365084
3512506,2022,84.56,82.52,96.02,100.0,12.5,167.8,25.73,20.46,2070.0,2034.0,0.0,88.6335607044208,249.0,395.0,0.0,0.113664392955792
3517802,2022,77.85,77.85,92.97,100.0,13.95,264.2,52.0,42.0,3146.0,3146.0,0.0,84.62450376339005,341.0,303.0,0.0,0.15375496236609942
3519303,2022,95.68,95.68,100.0,100.0,19.23,159.5,204.0,181.0,12224.0,12138.0,145187.56,95.29170369832197,48.0,596.0,0.005472164522363459,0.0468253172969521
3528205,2022,66.21,65.43,99.98,100.0,14.26,175.8,18.32,17.36,1294.0,1273.0,0.0,79.84328769061871,417.0,227.0,0.0,0.20156712309381286
